,SmsId,SenderPhoneNumber,Sender,text,timestamp,month_name,day_name,month,day,hour,weekday,week,year,polarity,subjectivity,negativity,neutrality,positivity,compound,nouns,tags,word_count
1394,1395,88022,Trump,"
(1) INVITATION ATTACHED

Are you going to ignore this? Your Trump MVP Club offer is PENDING
ACTIVATION.

We won't ask again. Join NOW: bit.ly/3jahgBO



",Wed Apr  6 23:05:50 2022,April,Wednesday,4,6,23,3,14,2022,0.0,0.0,0.166,0.834,0.0,-0.5248,"['invitation attached', 'your trump', 'mvp club', 'pending activation', ""wo n't"", 'join now']","[('1', 'CD'), ('INVITATION', 'NN'), ('ATTACHED', 'NNP'), ('Are', 'NNP'), ('you', 'PRP'), ('going', 'VBG'), ('to', 'TO'), ('ignore', 'VB'), ('this', 'DT'), ('Your', 'PRP$'), ('Trump', 'NNP'), ('MVP', 'NNP'), ('Club', 'NNP'), ('offer', 'NN'), ('is', 'VBZ'), ('PENDING', 'NNP'), ('ACTIVATION', 'NNP'), ('We', 'PRP'), ('wo', 'MD'), (""n't"", 'RB'), ('ask', 'VB'), ('again', 'RB'), ('Join', 'RB'), ('NOW', 'NNP'), ('bit.ly/3jahgBO', 'NN')]",
1395,1396,88022,Trump,"
Don Jr: CONGRATULATIONS

After deliberation, my father chose YOU to become a 2022 Founding Member.
Don't wait. Accept NOW: bit.ly/3LKMT0Q



",Wed Apr  6 13:26:10 2022,April,Wednesday,4,6,13,3,14,2022,0.0,0.0,0.088,0.725,0.187,0.5344,"['don jr', 'congratulations', 'you', 'founding member', 'accept now']","[('Don', 'NNP'), ('Jr', 'NNP'), ('CONGRATULATIONS', 'NN'), ('After', 'IN'), ('deliberation', 'NN'), ('my', 'PRP$'), ('father', 'NN'), ('chose', 'NN'), ('YOU', 'NNP'), ('to', 'TO'), ('become', 'VB'), ('a', 'DT'), ('2022', 'CD'), ('Founding', 'VBG'), ('Member', 'NNP'), ('Do', 'VBP'), (""n't"", 'RB'), ('wait', 'VB'), ('Accept', 'RB'), ('NOW', 'NNP'), ('bit.ly/3LKMT0Q', 'NN')]",
1396,1397,88022,Trump,"
INVITATION ATTACHED

Pres Trump: I want YOU to activate your 2022 Founding Membership. It's
INVITE ONLY, and I chose YOU. Activate: bit.ly/37g4Q8P



",Tue Apr  5 23:03:53 2022,April,Tuesday,4,5,23,2,14,2022,0.0,1.0,0.0,0.846,0.154,0.3885,"['invitation attached pres trump', 'you', 'founding membership', 'invite only', 'you', 'activate']","[('INVITATION', 'NNP'), ('ATTACHED', 'NNP'), ('Pres', 'NNP'), ('Trump', 'NNP'), ('I', 'PRP'), ('want', 'VBP'), ('YOU', 'UH'), ('to', 'TO'), ('activate', 'VB'), ('your', 'PRP$'), ('2022', 'CD'), ('Founding', 'VBG'), ('Membership', 'NNP'), (""It's"", 'NNP'), ('INVITE', 'NNP'), ('ONLY', 'NNP'), ('and', 'CC'), ('I', 'PRP'), ('chose', 'VBP'), ('YOU', 'PRP'), ('Activate', 'NN'), ('bit.ly/37g4Q8P', 'NN')]",
1397,1398,88022,Trump,"
Donald Trump Jr: I NEED YOUR ANSWER, friend. Would you vote for President
Trump a THIRD TIME?

GO ON RECORD: bit.ly/3NMTPfF



",Tue Apr  5 13:25:36 2022,April,Tuesday,4,5,13,2,14,2022,0.0,0.0,0.0,0.862,0.138,0.4939,"['donald trump jr', 'need your answer', 'trump', 'third time', 'go on record']","[('Donald', 'NNP'), ('Trump', 'NNP'), ('Jr', 'NNP'), ('I', 'PRP'), ('NEED', 'VBP'), ('YOUR', 'JJ'), ('ANSWER', 'NNP'), ('friend', 'NN'), ('Would', 'MD'), ('you', 'PRP'), ('vote', 'VB'), ('for', 'IN'), ('President', 'NNP'), ('Trump', 'NNP'), ('a', 'DT'), ('THIRD', 'JJ'), ('TIME', 'NNP'), ('GO', 'VB'), ('ON', 'NNP'), ('RECORD', 'NN'), ('bit.ly/3NMTPfF', 'NN')]",
1398,1399,88022,Trump,"
Don Jr: CONGRATULATIONS

After deliberation, my father chose YOU to become a 2022 Founding Member.
Don't wait. Accept NOW: bit.ly/3uQo6BB



",Mon Apr  4 23:03:23 2022,April,Monday,4,4,23,1,14,2022,0.0,0.0,0.088,0.725,0.187,0.5344,"['don jr', 'congratulations', 'you', 'founding member', 'accept now']","[('Don', 'NNP'), ('Jr', 'NNP'), ('CONGRATULATIONS', 'NN'), ('After', 'IN'), ('deliberation', 'NN'), ('my', 'PRP$'), ('father', 'NN'), ('chose', 'NN'), ('YOU', 'NNP'), ('to', 'TO'), ('become', 'VB'), ('a', 'DT'), ('2022', 'CD'), ('Founding', 'VBG'), ('Member', 'NNP'), ('Do', 'VBP'), (""n't"", 'RB'), ('wait', 'VB'), ('Accept', 'RB'), ('NOW', 'NNP'), ('bit.ly/3uQo6BB', 'NN')]",
1399,1400,88022,Trump,"
URGENT!

Pres Trump requested YOUR input on an URGENT poll, friend! He'll look for
your response in 5 minutes. CLICK HERE: bit.ly/35BGxBK



",Mon Apr  4 13:24:57 2022,April,Monday,4,4,13,1,14,2022,0.0,0.0,0.0,0.682,0.318,0.8338,"['urgent', 'pres trump', 'your', 'urgent', ""'ll look"", 'click here']","[('URGENT', 'NN'), ('Pres', 'NNS'), ('Trump', 'NNP'), ('requested', 'VBD'), ('YOUR', 'NNP'), ('input', 'NN'), ('on', 'IN'), ('an', 'DT'), ('URGENT', 'NNP'), ('poll', 'NN'), ('friend', 'NN'), ('He', 'PRP'), (""'ll"", 'MD'), ('look', 'VB'), ('for', 'IN'), ('your', 'PRP$'), ('response', 'NN'), ('in', 'IN'), ('5', 'CD'), ('minutes', 'NNS'), ('CLICK', 'NNP'), ('HERE', 'NNP'), ('bit.ly/35BGxBK', 'NN')]",
1400,1401,88022,Trump,"
friend - we're begging you. President Trump wants to BREAK A RECORD this
month. Final chance to claim your 7X-IMPACT >> bit.ly/375mKuI


",Sun Apr  3 23:19:46 2022,April,Sunday,4,3,23,0,13,2022,0.1,0.55,0.0,0.794,0.206,0.6369,"['trump', 'break', 'record', 'final', '7x-impact > > bit.ly/375mkui']","[('friend', 'NN'), ('we', 'PRP'), (""'re"", 'VBP'), ('begging', 'VBG'), ('you', 'PRP'), ('President', 'NNP'), ('Trump', 'NNP'), ('wants', 'VBZ'), ('to', 'TO'), ('BREAK', 'VB'), ('A', 'DT'), ('RECORD', 'NNP'), ('this', 'DT'), ('month', 'NN'), ('Final', 'JJ'), ('chance', 'NN'), ('to', 'TO'), ('claim', 'VB'), ('your', 'PRP$'), ('7X-IMPACT', 'JJ'), ('>', 'JJ'), ('>', 'NN'), ('bit.ly/375mKuI', 'NN')]",
1401,1402,88022,Trump,"
WHAT: Classified Trump Survey
WHO: YOU
WHEN: RIGHT NOW

Pres Trump is requesting YOUR input! TAKE SURVEY NOW: bit.ly/3LB2b8w


",Sun Apr  3 19:39:37 2022,April,Sunday,4,3,19,0,13,2022,0.3571428571428571,0.5357142857142857,0.0,1.0,0.0,0.0,"['what', 'classified trump survey who', 'you when', 'right now pres trump', 'your', 'take survey now']","[('WHAT', 'WP'), ('Classified', 'JJ'), ('Trump', 'NNP'), ('Survey', 'NNP'), ('WHO', 'WP'), ('YOU', 'NN'), ('WHEN', 'VBP'), ('RIGHT', 'RB'), ('NOW', 'NNP'), ('Pres', 'NNP'), ('Trump', 'NNP'), ('is', 'VBZ'), ('requesting', 'VBG'), ('YOUR', 'NNP'), ('input', 'NN'), ('TAKE', 'NNP'), ('SURVEY', 'NNP'), ('NOW', 'NNP'), ('bit.ly/3LB2b8w', 'NN')]",
1402,1403,88022,Trump,"
WHERE HAVE YOU BEEN?

Pres Trump's rally was LAST NIGHT, but we never heard from you. Final
chance to claim your 10x-IMPACT. Give HERE: bit.ly/3LAWIP2



",Sun Apr  3 13:40:13 2022,April,Sunday,4,3,13,0,13,2022,0.0,0.5333333333333333,0.0,0.906,0.094,0.3612,"['where have you been', 'pres trump', ""'s rally"", 'last night', 'final', 'here']","[('WHERE', 'WRB'), ('HAVE', 'NNP'), ('YOU', 'NNP'), ('BEEN', 'NNP'), ('Pres', 'NNS'), ('Trump', 'NNP'), (""'s"", 'POS'), ('rally', 'NN'), ('was', 'VBD'), ('LAST', 'NNP'), ('NIGHT', 'NNP'), ('but', 'CC'), ('we', 'PRP'), ('never', 'RB'), ('heard', 'VBP'), ('from', 'IN'), ('you', 'PRP'), ('Final', 'JJ'), ('chance', 'NN'), ('to', 'TO'), ('claim', 'VB'), ('your', 'PRP$'), ('10x-IMPACT', 'JJ'), ('Give', 'VB'), ('HERE', 'NN'), ('bit.ly/3LAWIP2', 'NN')]",
1403,1404,88022,Trump,"
Don Jr: My father is CRUSHING it on the rally stage! I'm printing the LAST
donor list soon.

Will your name be on it? Donate: bit.ly/36SbZMq



",Sun Apr  3 00:05:42 2022,April,Sunday,4,3,0,0,13,2022,0.25,0.48333333333333334,0.124,0.876,0.0,-0.5461,"['don jr', 'crushing', 'rally stage', 'last', 'donor list', 'will', 'donate']","[('Don', 'NNP'), ('Jr', 'NNP'), ('My', 'PRP$'), ('father', 'NN'), ('is', 'VBZ'), ('CRUSHING', 'VBG'), ('it', 'PRP'), ('on', 'IN'), ('the', 'DT'), ('rally', 'NN'), ('stage', 'NN'), ('I', 'PRP'), (""'m"", 'VBP'), ('printing', 'VBG'), ('the', 'DT'), ('LAST', 'NNP'), ('donor', 'JJ'), ('list', 'NN'), ('soon', 'RB'), ('Will', 'MD'), ('your', 'PRP$'), ('name', 'NN'), ('be', 'VB'), ('on', 'IN'), ('it', 'PRP'), ('Donate', 'NN'), ('bit.ly/36SbZMq', 'NN')]",
